id,nama,Umur,Status,no_hp,alamat
532,Sadina Maulana,22,Sudah Menikah,08632112196,"JL. DiPOnEGORO nO.164, KEcaMATAN cImAHi, PurwaKaRta, jAwa BaraT"
533,"Dt. Harimurti Farida, S.E.",64,Belum Menikah,08435960056,"gAnG suDIrMAn no.114, KEC. boJONG, kAraWaNg, jaWA bARaT"
534,drg. Olivia Mayasari,45,Sudah Menikah,08026255479,"JL. AhMAD YANI NO.95, kEc. CImAhi teNGAH, BEKaSI, jawa baRaT"
535,Kunthara Gunawan,34,Sudah Menikah,08518283913,"GAnG PAHLawAN NO.66, Kec. cIMahI UTARa, mAjaleNGKA, jawa BARaT"
536,"Caraka Nasyiah, M.M.",33,Belum Menikah,08467636942,"jl. DIpONEGorO NO.200, KECAmAtan ciBEuNyiNg, bogOR, JAwa baRaT"
537,Olga Lailasari,19,Sudah Menikah,08441076364,"komplek AhmaD yaNI no.187, Kec. cIMAHI TEnGAH, KARaWaNg, jawA barat"
538,Mahesa Maryati,49,Sudah Menikah,08687322120,"koMPLek ahmad YaNi No.125, keC. CIbeUNying, PuRwAKarTa, JaWa BArAT"
539,Eka Nasyiah,62,Sudah Menikah,08417681811,"gaNG diPonEgoRo nO.113, kEcAmATAN kaRAngpaWITaN, CiANJur, jAwA Barat"
540,Unjani Lestari,69,Belum Menikah,08292322924,"GAnG suDIRmAN NO.161, kEc. cImAhi tENgah, TASIkMAlaYA, JawA baRat"
541,Caraka Firmansyah,20,Belum Menikah,08360878022,"kOmPlek SUdIRMAn nO.15, kecaMATan cImAHi TENGAh, paNGaNDaran, JAwA baRaT"
542,"R.M. Mahesa Jailani, M.Ak",21,Belum Menikah,08168203303,"gaNg PahlAwan No.1, KeCamatAN cibEuNYInG, taSIKmALAyA, jAwA barAt"
543,Rahmi Saragih,32,Belum Menikah,08454282163,"GANG sudiRMan NO.40, KEC. cIBEUnyiNG, sukabuMi, JaWA baRAT"
544,Diana Laksita,39,Sudah Menikah,08830747397,"kOmpLEK aHmad YaNI No.21, KeCAmAtan cIbeuNyiNG, banjAR, JaWA bAraT"
545,Nardi Pranowo,26,Sudah Menikah,08827662798,"koMPlEK SUdiRman no.39, KECAMatAn CibEuNyiNG, iNdRAmAYu, jAwA BaRAT"
546,"R. Garan Setiawan, M.Pd",61,Belum Menikah,08842432067,"JL. diPOnEgoRO nO.14, KeCaMATAN cimaHI, BANdUNG, jawA BARat"
547,Jasmin Napitupulu,53,Sudah Menikah,08840312136,"JL. DipOneGoro NO.181, Kec. boJONg, tASIKMALAya, JAWA baRAT"
548,Paramita Damanik,42,Sudah Menikah,08452944366,"jl. MERDEKa nO.96, keC. KAraNGpawItaN, MaJalENgKa, JawA BARat"
549,Citra Lestari,17,Sudah Menikah,08459688607,"jl. sUdIRMAn nO.65, KecamatAn kaRangPaWITaN, SuBAnG, jAWA bArAt"
550,Kamaria Lailasari,23,Sudah Menikah,08593638299,"koMpLeK DIPOnegOro nO.178, KEcAMATAN CIBEUNYInG, gArut, jAWA bARat"
551,Titin Wahyudin,63,Belum Menikah,08803455014,"KoMPLeK MERDEkA NO.184, KEC. Cimahi, beKaSi, jaWa baRat"
552,"Dr. Hani Mandasari, S.E.",23,Sudah Menikah,08171979511,"JaLAN paHLawAN nO.109, KEc. cImAhi teNGaH, MajAlENGKa, jAWA BarAT"
553,R.A. Yessi Napitupulu,66,Sudah Menikah,08746263443,"GANg DiPOnEgoRo no.31, KeCAmAtAN BoJong, CIrEBon, jaWa BarAt"
554,"Dr. Reza Januar, M.Ak",36,Sudah Menikah,08714852226,"jaLaN ahMAD yAni NO.140, kEC. cimAHI, kUnINGAN, JAWA BarAt"
555,Harjo Rahimah,46,Sudah Menikah,08909678976,"JL. MErdEkA No.11, KeCAMatAn CImAhI tEnGAH, CIAnJUr, jAWa BARAT"
556,"Dr. Makara Nuraini, S.Ked",22,Belum Menikah,08782597745,"jAlAN sUDIRMAn nO.65, kec. cIMAHI uTAra, SUKAbUmI, JaWa bARaT"
557,"Dr. Jayeng Prasetya, S.E.",54,Belum Menikah,08691821508,"jL. DEwi sARTika NO.24, KECaMATaN CiMAHI TENGAh, CirEBon, JaWA BArAT"
558,"Sutan Langgeng Marbun, S.Ked",47,Belum Menikah,08826608402,"jL. deWi saRtIka NO.124, KEcAMaTAN ciMaHI utarA, boGOr, JAWa BaRAT"
559,Dr. Malika Mandala,62,Sudah Menikah,08651192969,"jL. SUdIrMaN no.64, KeC. CiMaHi uTARa, bandUNG, JAWa barat"
560,"Agus Rajasa, S.Ked",62,Sudah Menikah,08764887919,"JalAn DIponEGoRo no.34, keCaMATAn bojong, cImAHI, jaWa bARAt"
561,Ellis Permadi,70,Belum Menikah,08612472676,"KOMPLeK pAHlaWAn no.20, KeC. cImAHi, KaRAwAnG, jAWa BaRaT"
562,Salimah Iswahyudi,65,Sudah Menikah,08384446981,"jalan pAHLaWan no.86, kEc. cibeunyinG, sumEdAnG, JawA bArat"
563,Danang Sirait,31,Sudah Menikah,08254247047,"KomPlek MerDeKa no.22, KeC. cImAHi SeLatAN, puRWaKARta, jaWA BaRAT"
564,Kajen Pertiwi,57,Sudah Menikah,08322588773,"jL. dewi sartikA NO.151, kEc. CimAHi, mAJALENgka, JAWA barAT"
565,Makara Uyainah,35,Belum Menikah,08267428926,"gAng sUdIrMAn no.65, kECamATan bOjONG, SukAbUMI, JAWa barAT"
566,Dian Samosir,42,Belum Menikah,08468642253,"komPlEK DIPoNEgOrO nO.50, KECaMATaN cImAHi uTarA, CiaNjUr, jAwa BARAt"
567,"Salman Zulkarnain, S.Farm",26,Belum Menikah,08100600807,"Jl. dewi SArTikA no.169, KEc. cimAHI selATAn, maJALeNGka, JaWA BARaT"
568,Ade Prayoga,20,Sudah Menikah,08009704534,"Jl. DIPONEgOro No.95, KeC. CIMAHi selAtAN, kuNiNgaN, JAwA BaRAt"
569,Ajiono Novitasari,44,Sudah Menikah,08738456694,"jl. MeRDeKA nO.103, kEc. cIMahi UTARa, tAsiKMaLAyA, jAwa baraT"
570,Titi Haryanto,43,Sudah Menikah,08075510602,"kompLEk dEWI sarTiKA nO.155, KeC. cIbeunyInG, CiMahI, JAWA BARAT"
571,Kayla Prayoga,66,Belum Menikah,08469558059,"JL. merDEka nO.11, kEC. CimAHI, CimaHI, JAwa bArAt"
572,Kemal Nashiruddin,30,Sudah Menikah,08820392438,"koMpleK sUdiRMAN No.14, KEcamatAn BojOng, baNDUng, jawa baRat"
573,Imam Kurniawan,34,Sudah Menikah,08495971707,"KOMPLEk mERDEKA nO.162, kECaMAtAn BOJonG, sUkAbumi, jAWa Barat"
574,Ir. Endah Pradipta,20,Belum Menikah,08023931821,"KomPleK DeWi Sartika nO.109, kECAMAtAN CIMAhI selataN, beKasi, JAWA baRaT"
575,Bakiono Hutasoit,46,Belum Menikah,08722167926,"jAlan MErDEka NO.73, keC. ciBEUnYiNG, KAraWang, jAWA barAT"
576,"Tina Setiawan, S.T.",19,Belum Menikah,08097699502,"KOMplEK AHMAD YANI NO.176, kec. cIMAhI tENGah, ciAnjUr, JAWA baRaT"
577,Purwanto Novitasari,23,Belum Menikah,08248095396,"jaLAn pAHlAWAn NO.179, kECAmataN CImahI SElataN, iNDrAMAYu, JaWA BaRat"
578,Drs. Arsipatra Zulkarnain,17,Belum Menikah,08999284658,"gaNG PahlAwaN nO.156, KEC. KARANGPawITaN, bANJAR, JaWa bArAt"
579,Ajimin Pranowo,30,Belum Menikah,08110415927,"Jl. dipONeGOro nO.44, KeCAmaTan cibEUnYiNG, cIRebON, jAwA BaRAT"
580,Dr. Carla Dongoran,63,Sudah Menikah,08494889440,"GANG dIPOneGorO no.169, KECAmatAN BoJONG, TaSiKMAlaya, JaWA bARaT"
581,Chelsea Handayani,70,Belum Menikah,08552411318,"KOmPLEk MErdekA No.170, keC. CimAHI UtarA, dePOk, jawA barat"
582,"Sarah Pratama, M.Farm",28,Belum Menikah,08646004689,"jL. mERdEKa nO.184, kecAMaTAN kArANgpAwITan, bekASI, JAwa bARaT"
583,Mahmud Purnawati,26,Sudah Menikah,08559772253,"JaLaN PahlaWan No.197, KEcAmataN cIBeUnYInG, INdrAmayU, jawA Barat"
584,"Winda Winarsih, M.Kom.",69,Sudah Menikah,08215075065,"jAlan DIPoNegorO No.118, KEc. CIbEuNyInG, SUBANG, JAwa BArAt"
585,"KH. Cakrawala Nababan, S.Kom",29,Sudah Menikah,08768964977,"gaNG dEwI SArtIKA no.9, kEc. cIMAHI SeLaTan, KUNINGAn, jaWa baRat"
586,Samiah Purwanti,34,Sudah Menikah,08681214122,"GAng dIpoNegorO NO.112, KeCamatAn boJonG, suMeDAng, Jawa baRAt"
587,"T. Laswi Nashiruddin, M.Farm",47,Sudah Menikah,08386130076,"KOMpLeK pAhLaWaN nO.166, kEc. CIMAhI, Banjar, jaWA BaRat"
588,Prakosa Usamah,24,Belum Menikah,08607110191,"gaNg DEWI SArtiKa No.121, kecaMAtaN CiMAhI selATaN, puRWAKaRTA, jAwa baRAt"
589,"Sadina Ramadan, M.M.",48,Belum Menikah,08010167657,"JL. DEWI SarTIkA no.101, KECaMaTan CimAHI UtARA, CIreBON, jAWa baRAt"
590,Titi Susanti,54,Sudah Menikah,08192225849,"Jl. DIpOnEgoRo nO.59, KecAMATan KAraNGpAwiTAn, PAngandAraN, JawA bARAt"
591,Vanesa Prayoga,24,Sudah Menikah,08161440539,"jL. SudIrmAn No.80, kec. karAnGPAWItAn, BanDUng, jawA baRaT"
592,"R.A. Ayu Gunarto, S.Gz",37,Belum Menikah,08100094529,"jl. suDiRMan nO.63, KeC. KARanGPawItAN, MAjALenGKa, Jawa BArAT"
593,Shania Simbolon,40,Sudah Menikah,08957036502,"kOMPLEk merdeKa no.159, kECAMaTAN cimaHi SElaTAN, CiMahi, jAwA BaRAt"
594,Gasti Anggriawan,51,Belum Menikah,08608571542,"jAlAn MerDEKA NO.115, KECaMAtAN cimAHI utarA, PuRwakArtA, jawA barAT"
595,Jarwi Narpati,51,Sudah Menikah,08372713344,"jaLAN deWI SaRtIka nO.101, kEC. CIMaHI tENGAH, SukaBUmi, jaWA bARAt"
596,"Raharja Permata, S.Pd",70,Sudah Menikah,08605661401,"JAlAN DeWI SArTIka no.167, KecamATaN kArAngPAWiTan, bOgor, jAWa BArAT"
597,Daniswara Anggraini,40,Belum Menikah,08599865682,"kOMpleK MErdeKa no.12, KeCAmATAn cimAHI UtaRa, PangAnDarAn, JaWA BArAT"
598,"Drs. Fitriani Riyanti, M.Pd",45,Sudah Menikah,08252267003,"jALAN aHmAd YAnI no.94, KEc. cimahI UTARa, BOgOr, jAWa barAT"
599,"Ir. Karman Rajasa, S.Pd",31,Belum Menikah,08210485314,"kOMpLeK sudIrmAN No.70, kEc. cimahI uTara, CIMahI, JAwA BARAT"
600,Banawa Prabowo,62,Sudah Menikah,08153251714,"jl. pahLaWan No.185, KEC. cibeunyING, kaRaWANg, jawA BArAT"
601,"Iriana Namaga, S.Sos",36,Sudah Menikah,08322006376,"jalan Diponegoro NO.156, Kec. Cimahi, CIRebon, jAwa baraT"
602,"Dt. Karsa Suartini, S.I.Kom",61,Belum Menikah,08387099277,"gAng DiPoNegoro no.186, KEcAmATaN BOJoNg, kuNiNGaN, JAWA bArat"
603,drg. Ganda Pradipta,43,Sudah Menikah,08286547836,"kOmPLEk DeWi SARtIKa NO.1, KecAMaTAn cImaHI tengAh, cIANJUR, jAWA baraT"
604,Warta Kuswandari,22,Belum Menikah,08131526468,"kOmpLeK PAHLawAn NO.3, kEC. cImahi, GarUT, jawA BaraT"
605,drg. Cengkal Riyanti,61,Sudah Menikah,08731373633,"jl. PAHLawAn NO.145, KeC. CImaHI selaTaN, CiANjUR, jAwA BARaT"
606,"Waluyo Simbolon, S.E.I",29,Belum Menikah,08640964352,"jalAN DIPONeGOrO no.46, KEC. CImahI, cianJur, jAWa barAt"
607,Ilsa Santoso,30,Sudah Menikah,08010795202,"JalAN AhMad YAni nO.17, kEc. CiBeuNyiNg, KUnINGAn, JAwA bAraT"
608,Oni Maryadi,69,Sudah Menikah,08037914967,"GANg sUDIRman no.36, kEcaMAtAN KARanGpawITaN, DePOk, jaWa baRAT"
609,Elvina Nababan,61,Belum Menikah,08641076586,"jl. SUdiRMAN NO.169, Kec. ciMaHi SElaTAn, SUkAbUmI, jAwa BaraT"
610,Asmuni Puspasari,64,Belum Menikah,08586711802,"jALAn MErDekA No.53, KEcamATAn ciMAhi SelATAN, GArUT, jAwa BaraT"
611,Aurora Dongoran,64,Sudah Menikah,08178927833,"jALaN SUdirmAN NO.173, KecAmATAn CIMaHi UTara, GarUt, jAWA barAt"
612,"dr. Estiawan Wulandari, S.Pt",56,Sudah Menikah,08095082048,"jaLAN Merdeka nO.58, KeC. BojONG, BAndung, jawA barat"
613,"Balidin Pradana, S.Psi",37,Sudah Menikah,08579676509,"GaNG dewI SArtIkA nO.107, kec. bOJoNg, maJALenGKa, jAWA BaraT"
614,Hilda Pradana,60,Belum Menikah,08115363981,"kOMplEk sUDIRmAN No.19, keCaMAtAn CImahi TENGAH, cIaNjUR, JawA Barat"
615,"Dr. Sabri Widiastuti, S.Pd",24,Belum Menikah,08511961845,"gANg dipOnEGoro no.133, KEcAmAtAN CIMahI sELaTaN, PurwaKaRtA, JawA BARat"
616,Ratih Halim,41,Sudah Menikah,08589379347,"jaLAN dEWI sarTIKa No.153, KEC. cimahi TenGAH, bANdunG, jAwa baRAt"
617,Suci Suwarno,54,Belum Menikah,08275826010,"jaLAn mErdekA NO.18, KecamaTAn karanGPawitAN, indRamayU, jaWa BaRat"
618,Harsaya Megantara,66,Sudah Menikah,08661755843,"jl. dEWI sARTIKA NO.45, KeCAmaTaN boJonG, sUBAng, jAwA bArAt"
619,"Puti Silvia Hutasoit, S.IP",39,Sudah Menikah,08393870983,"jalAn sudirmAN No.70, KEc. cimAHI sElAtAN, kuNINgAn, JAwA barAt"
620,Sidiq Pudjiastuti,35,Sudah Menikah,08315653044,"GAng dipONEGORO no.35, KEcaMAtan CiMaHI uTaRA, SUKAbUMI, jAwa BAraT"
621,"dr. Karta Aryani, S.Kom",63,Belum Menikah,08978616628,"koMplEk mERdEKa no.50, KEc. bOJong, sUmEDANG, jawA bARat"
622,"R.M. Kariman Halim, S.E.",33,Belum Menikah,08495838874,"jalaN Ahmad yAnI no.179, KeC. boJOnG, boGoR, JAWA baRat"
623,Karman Kuswandari,42,Sudah Menikah,08653987038,"JL. ahMad Yani No.15, Kec. cIbeunyInG, puRwAkArtA, jaWA bARaT"
624,Lasmono Usamah,59,Sudah Menikah,08814739733,"jaLaN meRDEKa no.120, KEc. CiMaHI SeLATAN, iNdRAmaYU, jAwa baRAT"
625,Sutan Martani Simbolon,23,Sudah Menikah,08898756426,"ganG DeWi SArTiKA nO.146, KEc. CImAHi, CiReBoN, JaWa BArat"
626,"Novi Nurdiyanti, S.Pd",62,Belum Menikah,08680045608,"KOmPLeK pAHLaWan no.1, keC. KarANGPaWItaN, BekaSI, JaWA BaRat"
627,drg. Utama Nasyidah,38,Sudah Menikah,08898590305,"GANG dEWI sARtIkA NO.59, kec. kARanGPaWitaN, cIrEbon, jaWa bARat"
628,"Cornelia Maulana, S.Sos",54,Belum Menikah,08474104045,"gAnG AHMad yaNi NO.21, KeC. CIbEuNYInG, PANGANDARaN, JaWA BaRAT"
629,Hafshah Saputra,62,Sudah Menikah,08686262917,"JAlAn pAhLAWAN no.121, kEC. cimahi tEngAH, boGOr, jawA baRaT"
630,Drs. Yessi Mandasari,56,Belum Menikah,08640593788,"JL. DIPOneGOrO no.18, KECamaTAN cImahI, MAjaLenGkA, jAwA baRAt"
631,Unggul Salahudin,22,Sudah Menikah,08419522243,"KompLek aHMAD Yani no.79, KeC. KaraNGPAwITAN, INDRAMAyU, JaWa BArAt"
632,Salsabila Firmansyah,66,Belum Menikah,08021488724,"gaNG sUdiRMAn no.181, KeC. cImahi, taSikMAlaya, JaWA barAt"
633,"Puti Kasiyah Situmorang, M.Ak",35,Belum Menikah,08693555095,"jl. MerdEka no.138, kec. bOJONG, bAndung, JAWa baraT"
634,Dt. Kuncara Kusmawati,56,Belum Menikah,08465303787,"JALan AHmad YANI nO.124, kEc. CIMAhi SELatan, tASIkMALaYa, JaWa Barat"
635,Jaga Handayani,56,Belum Menikah,08088852770,"KOMPLek SudIrMAn NO.163, KEc. bojonG, PangANdaraN, jawa bArat"
636,Gara Thamrin,28,Sudah Menikah,08223872851,"jAlan deWi sARtIkA No.74, keCamATaN cImAhI tEngaH, DepOK, jAWA BArat"
637,"Cut Kasiyah Mandasari, M.Ak",38,Sudah Menikah,08659520752,"koMplek meRdEkA nO.154, keC. cIMAHI, bOGOr, JAwa BArAt"
638,"Rafi Siregar, S.Ked",23,Sudah Menikah,08815849523,"gAnG PahLawan No.6, kEC. KarANgPaWitAN, SUMedAnG, JaWa baRAT"
639,R. Queen Prabowo,58,Sudah Menikah,08100099266,"kOmPlEK PahlAwAn nO.193, KECAmaTan bOjONG, indRAMAyu, JaWa bARAT"
640,"T. Nasrullah Mustofa, M.Ak",37,Sudah Menikah,08764059376,"jALan dEWi sArTIKA no.146, KECaMatan karANGpAwITan, bAnJar, jawA bARAt"
641,Cinthia Pradipta,21,Belum Menikah,08324903203,"JAlAN suDirman NO.11, KEC. CImahI SELataN, puRWakaRta, JAwA Barat"
642,"Hasna Maryadi, M.Pd",58,Belum Menikah,08317765442,"GAnG SUDirman No.61, kECAMataN CImaHi UTarA, DEpoK, JAWA BaRAT"
643,Raisa Dongoran,69,Belum Menikah,08240976745,"Jl. PAHLawAn nO.105, KECAmATaN karAnGPAwiTaN, MajaLEngKa, JaWA BAraT"
644,"Ibun Utama, S.Kom",69,Belum Menikah,08042103096,"jaLAn sUDiRmAN No.198, kECAMaTAn cIbEUnYing, SuKabumi, JawA baraT"
645,Tiara Prabowo,30,Belum Menikah,08760365112,"jALan MErDEKA no.68, Kec. ciBeUNying, bEKAsi, Jawa bARAt"
646,R. Aisyah Sirait,52,Sudah Menikah,08517359508,"jalaN PaHLawAN nO.107, KEcAmAtAn CImaHi teNGAh, MAJalENGka, JAwA BaRaT"
647,Ir. Uchita Siregar,58,Sudah Menikah,08655177146,"KOMPLek SUdIRman nO.97, KeCAMATan KAraNGpAwITAn, SukABUMI, jaWa baRAT"
648,Hj. Anita Permata,66,Belum Menikah,08822022072,"jAlAn PAhLAWaN NO.144, Kec. CiMahI TEnGAh, bEKaSI, JAWA BarAt"
649,Ajeng Hastuti,41,Sudah Menikah,08995990745,"JL. dEwi sartikA no.187, kEC. BOjOng, dePok, jAWA barAT"
650,Oskar Usamah,29,Belum Menikah,08077804216,"gANG pAHLAWAN nO.150, kecaMATAN ciMAhI tenGAH, cIMAhI, jawA baRAt"
651,Safina Nugroho,60,Belum Menikah,08843908396,"JaLAn pAHlaWan NO.65, Kec. cImAHI seLataN, CIREBoN, jaWa BARAt"
652,"Banara Hidayat, S.H.",22,Sudah Menikah,08841698976,"JaLAn sudirMAN No.88, keC. cImaHi, PurwakaRtA, JAwa BARAt"
653,Caket Sudiati,59,Sudah Menikah,08978617274,"JL. meRDEKa no.123, KecAmATan CImaHI Utara, indrAmayu, jAwa bARAT"
654,Ir. Nurul Lazuardi,59,Sudah Menikah,08335738769,"JAlan SUdiRmAN NO.141, kECAmAtan KAranGpAwITAN, iNDRaMaYu, JAWa BarAt"
655,"T. Danang Rajata, M.TI.",59,Belum Menikah,08265430703,"gAng sUdirMAn NO.65, KEC. CiMaHi uTarA, suKabUMi, jAWa baraT"
656,"Amalia Kuswoyo, S.Gz",57,Sudah Menikah,08087953074,"kOmPLeK PaHlAwaN nO.62, kecamatan kaRangpaWItAN, PAngaNdaRAN, JAWa bArat"
657,Fitriani Mayasari,57,Sudah Menikah,08866075466,"KompleK pAHLawAN NO.154, Kec. boJOng, subanG, jawA BaRat"
658,Kariman Najmudin,57,Sudah Menikah,08330221331,"KoMplEK dipONeGOro nO.81, KECAmAtAn CIMaHI, gARUT, Jawa BarAT"
659,Ganjaran Suartini,24,Sudah Menikah,08868836659,"koMPLek meRdekA NO.167, Kec. ciBEUnYing, sUBAnG, jAwa BArat"
660,Lanjar Tarihoran,47,Sudah Menikah,08048878193,"jALan paHlaWAN no.181, KecAMAtAn CiMAhI tENgaH, suKABUMi, JawA BARAT"
661,Febi Pratiwi,50,Sudah Menikah,08728421296,"GANG aHMad YanI nO.193, Kec. cimahi TeNGah, cIrEBon, jawa bARAt"
662,Jasmin Wulandari,67,Belum Menikah,08352203956,"GANg sudiRMAn nO.85, KECamAtaN cIbEUNyInG, GaruT, JAwa baRAT"
663,Farhunnisa Dabukke,26,Sudah Menikah,08193972461,"jl. DiPONegoRo NO.129, kec. CimAhI tenGAH, BOgoR, Jawa bARaT"
664,Tgk. Lidya Novitasari,49,Sudah Menikah,08952984681,"JALan AHMAd yANI No.64, kEc. CIBEunyING, DEpoK, jaWA BarAt"
665,Makara Pradipta,63,Sudah Menikah,08524856399,"JL. mERDeKA NO.52, Kec. KarANGpawItaN, SUbAng, jawA bAraT"
666,"R. Pia Suartini, S.H.",26,Belum Menikah,08624859566,"gaNg suDirMAn No.14, KEC. KARANgpaWiTaN, gARUT, Jawa bArAT"
667,"Hj. Laras Prasetyo, S.Sos",18,Belum Menikah,08551640834,"komplEK PaHLAWan No.186, kEC. ciMAhI seLataN, KuninGan, JawA BaRAT"
668,Nadine Santoso,18,Belum Menikah,08713737870,"GAng aHmaD YaNi no.76, KECAMaTaN kARANGpAwitAN, TAsikMALayA, jaWa BaRAT"
669,Gambira Latupono,52,Belum Menikah,08267195911,"KOmpLEk mErdekA No.130, kEc. CiMAHI, sUkABUmI, jAWA baRAT"
670,"T. Limar Utama, S.IP",47,Belum Menikah,08907958855,"GaNG DiPoNeGOro No.184, kECaMAtAn KaRangpAwiTan, gARUt, JaWa BarAt"
671,Anastasia Prasetyo,22,Sudah Menikah,08121674617,"jAlan sUDiRMAN NO.155, KECaMatAN KarANGPAwITan, kuNiNgan, jaWa bARaT"
672,Ulva Utami,39,Belum Menikah,08621560392,"Gang MERDeka No.102, KEcaMaTAN ciMaHi, KUNingaN, jAwa BArAT"
673,Lutfan Wijaya,61,Belum Menikah,08827278090,"KompLEk sUdIRMAn nO.105, KEc. cimaHI, CIrEbon, JAWa BARaT"
674,Maria Samosir,18,Sudah Menikah,08015357775,"jALAn SuDIrmAn NO.32, kEC. ciMAhi, BogoR, jAwA baRaT"
675,Samsul Handayani,26,Sudah Menikah,08609365136,"KOMPLEk DEwi SARTika No.108, KEc. boJOnG, suMEDang, JAwa Barat"
676,"dr. Puspa Rahayu, S.Psi",44,Sudah Menikah,08519631653,"GANG DipONEGoRo no.138, keC. CiMAHi utarA, DepOk, JaWA BARat"
677,"Lidya Oktaviani, S.IP",62,Belum Menikah,08556501705,"koMplEK SUDirman No.143, KeCAMaTAn cimahI SelAtaN, sUbanG, jawA baRaT"
678,Zalindra Firgantoro,42,Sudah Menikah,08038909763,"kOMPLEk sUdiRmAn No.148, kEC. cimahI TengaH, kUniNgaN, jawa barat"
679,Ani Maulana,55,Sudah Menikah,08234564137,"kOMpLEk aHmad yAni no.84, KECamaTaN cImAhi, SUKabumI, jaWA BArat"
680,Zamira Wahyudin,22,Belum Menikah,08139578010,"jALAn DEWi SartiKA No.51, keCAmAtan ciMahI, baNdUng, jAWA BArAT"
681,Queen Mansur,61,Belum Menikah,08680181875,"JAlaN AHMAD YaNI no.192, KeCAmATAn bOJOnG, kARaWaNG, JAwa BArat"
682,Jamil Laksmiwati,54,Belum Menikah,08747908433,"GANg MerdEkA No.16, KECamaTAn cimAhi TeNgaH, BekasI, JAWa BAraT"
683,"drg. Hani Manullang, S.Pt",56,Belum Menikah,08065583896,"jAlAN dEWI sarTIKA no.172, KeC. BOjoNG, BogOR, jAWA BaRaT"
684,Titin Sudiati,22,Belum Menikah,08899914365,"jalAN paHLAWAn No.104, KEC. cIMAhI UTArA, beKaSi, jAWA BaRat"
685,Hamima Wibowo,50,Belum Menikah,08738081373,"GAnG dIpoNEGOrO nO.188, kEC. cIMahI UtarA, INdRAMaYu, JAwa bARAt"
686,Anita Kusumo,70,Belum Menikah,08317180012,"jl. deWI saRtiKa nO.26, keC. karANGPAWitAn, kARAWANG, jaWA BARAt"
687,"Jelita Thamrin, S.Pd",41,Sudah Menikah,08855350327,"gAng dIpoNeGOrO nO.154, KEcAmataN ciMaHi UTara, banjAR, JawA bARat"
688,R.M. Luhung Winarsih,27,Sudah Menikah,08146977917,"gANg SUdiRmAn No.178, KEcamAtAn KarangpaWITaN, banJAR, JaWA BAraT"
689,Saiful Siregar,35,Sudah Menikah,08613767517,"Jl. AhmaD YaNi No.117, kEc. cIMahi UtaRa, DEPOK, JAwA BaRaT"
690,"dr. Unjani Nababan, S.Sos",43,Belum Menikah,08944743941,"koMpLeK DIpOnegORo No.44, KEcAMATAN CIbEuNying, IndramayU, JAwa baRaT"
691,"R. Jail Uwais, M.M.",26,Belum Menikah,08642354269,"JalAn SUdiRMaN no.86, kEC. cImaHi utarA, cimAhI, JaWA baRat"
692,Gadang Prakasa,58,Belum Menikah,08052750342,"JalaN DiponEGoro no.129, KEc. cIMahi utAra, kuNINGAn, JaWA bARAt"
693,dr. Citra Hariyah,38,Belum Menikah,08251484352,"gaNG AhmAD YAnI nO.95, keCamatan cIMahi utaRA, BOGor, JaWA bARAT"
694,"dr. Restu Agustina, S.E.I",46,Sudah Menikah,08931802820,"jALan mERDekA nO.59, kec. CimaHI, SubAnG, JaWA BARaT"
695,Drs. Tami Sihotang,18,Sudah Menikah,08471434993,"jALAn deWi SaRtiKA No.19, Kec. CIMahI, KaraWANG, jAwA bARAt"
696,"dr. Zulfa Wacana, S.T.",52,Belum Menikah,08508221004,"Jl. dIPONegorO no.80, KEc. kARaNgPawItAN, dEPOk, jawA BARat"
697,Cecep Lailasari,41,Belum Menikah,08657658295,"jalAN meRDEKa No.112, kECaMaTAN ciMahI sELataN, PurwakarTa, JawA BARAT"
698,Caket Hutapea,59,Belum Menikah,08767827174,"jalan pAHLAWan nO.134, kecamataN CIbEUnying, SUBaNg, JAWA BAraT"
699,"R.M. Hasim Hutasoit, S.IP",63,Sudah Menikah,08534984110,"KOmPlEK PAHLAwaN NO.55, KEcAmAtAN BoJOng, CIreboN, JawA BArAT"
700,"Drs. Agnes Yolanda, M.Kom.",25,Sudah Menikah,08526916592,"koMpLek DiponeGOrO nO.18, KecaMaTAn bojoNg, bEKasi, jAWa BArAT"
701,R. Uli Yulianti,23,Belum Menikah,08424224085,"koMpLek AHmAD yaNI no.79, KecaMaTaN cImahI TengAH, cIaNjUR, jAwA bArat"
702,Hafshah Wastuti,63,Sudah Menikah,08840647316,"koMpLEk MeRdeKa No.181, kECamatAN CiMahi, suBanG, jawa baRaT"
703,Yani Simanjuntak,52,Belum Menikah,08052112224,"KOmPLeK dewI sARtikA no.151, KEc. cImAhi, gArUt, jAWA BARat"
704,Drs. Nrima Sinaga,69,Belum Menikah,08548714983,"jaLan sUdIrmAN nO.40, keC. BOjOng, sUMeDang, jaWA bARat"
705,"Mitra Suartini, M.TI.",22,Belum Menikah,08601708983,"Jl. PahlAwan NO.180, kECaMAtAN CImAhi sELaTAn, KaraWANG, JawA barAT"
706,Kariman Mangunsong,43,Sudah Menikah,08351611261,"jalAn PAHLAWAn no.129, KEc. CiBeUNyING, MajalengKa, jaWa barAT"
707,Naradi Riyanti,68,Sudah Menikah,08689655432,"jaLAN pAhLAwAn nO.114, Kec. cImaHi SeLAtAn, sUBaNg, JaWa bArAt"
708,drg. Vanya Halimah,49,Belum Menikah,08976594856,"Jl. DIpONeGORo NO.66, kEcamatan cimahi, SUkabumi, JawA bARaT"
